,time,news_provider,related_instrument,headline,date
651,19:08:00,COIN,USD= BTC=,BNB-Bitcoin Ratio Drops to Lowest Level in Six Months On Paxos-BUSD Drama,2023-02-21
652,18:55:52,COIN,HIVE.V ETH=,"Crypto Miner Hive Blockchain's Posts Q3 Loss as Ethereum Merge Cuts Revenue, Mining Margin",2023-02-21
653,17:04:35,COIN,LTC= BTC=,Litecoin Network Gets Its First NFTs After Developer Forks Bitcoin Ordinals,2023-02-21
654,10:01:40,COIN,NEO= BTC=,First Mover Asia: Bitcoin Edges Toward $25K During Slow Economic Day,2023-02-21
656,21:35:07,COIN,IOT= .FTSE,First Mover Americas: Bitcoin ‘Ordinals’ Boom Prompts NFT Activity Surge,2023-02-20
657,20:22:40,COIN,ETH= BTC=,Bitcoin Layer 2 Stacks Network's STX Token Spikes 50% as 'Ordinals' Boom,2023-02-20
658,11:19:04,COIN,DOGE= BTC=,First Mover Asia: Bitcoin Opens the Week Testing $25K,2023-02-20
660,12:28:54,COIDES,BTC=,"Bitcoin Soars, Then Retreats. What's Behind This Week's Rollercoaster? What's Ahead?",2023-02-18
661,11:55:19,COIN,BTC=,"Bitcoin Soars, Then Retreats. What’s Behind This Week’s Rollercoaster? What’s Ahead?",2023-02-18
668,02:59:01,COIDES,BTC= COIN.O,Coinbase Investors Prepare for Another Likely Disappointing Quarter,2023-02-18
669,02:55:12,COIN,ETH= BTC=,Bitcoin Ordinals Can Lift the Entire Crypto Ecosystem,2023-02-18
670,02:26:11,COIN,ETH= COIN.O,Coinbase Investors Prepare for Another Likely Disappointing Quarter,2023-02-18
671,02:26:11,COIN,BTC=,Coinbase Exec: US Congress Needs to ‘Step Up’ Its Crypto Regulatory Efforts,2023-02-18
673,00:36:11,COIN,BTC=,4 Huge Revelations in the SEC’s Charges Against Do Kwon and Terraform Labs,2023-02-18
677,22:46:43,COIN,BTC=,"Terraform Labs, Do Kwon Transferred More Than 10K Bitcoin Out of Platform Accounts After Collapse: SEC",2023-02-17
678,22:09:06,COIN,ETH= BTC=,Bitcoin NFTs Challenge the Blockchain’s Largest Use Case: Money,2023-02-17
679,20:30:11,COIN,BTC=,"No, Hong Kong Won’t Be Allowing Retail Traders Access to Crypto on June 1",2023-02-17
680,12:12:11,COIN,BTC=,"Crypto Theft Rose in 2022 as Scams, Ransomware Bounty Fell: Chainalysis",2023-02-17
681,09:32:36,COIDES,BTC=,First Mover Asia: Crypto Momentum Falters as Bitcoin Retreats to $23.6K,2023-02-17
682,08:55:21,COIN,ETH= DOGE=,First Mover Asia: Crypto Momentum Falters as Bitcoin Retreats to $23.6K,2023-02-17
685,05:30:54,COIN,BTC=,"Refinitiv Newscasts - Bitcoin Briefly Tops $25K, Sees 12% Rise in Past Week",2023-02-17
686,05:14:27,COIN,BTC=,Compute North’s Reorganization Plan Approved by Bankruptcy Judge,2023-02-17
689,01:30:20,COIN,BTC=,What Fat Tails and Revolutionary Ages Mean for Digital Assets,2023-02-17
692,00:45:55,COIN,BTC=,Bitcoin Jumps Past $25K for First Time Since June 2022,2023-02-17
693,00:28:36,COIN,BCH=,Mt. Gox’s 2 Largest Creditors Pick Payout Option That Won’t Force Bitcoin Selloff: Sources,2023-02-17
694,00:23:56,COIN,BTC=,"Refinitiv Newscasts - Bitcoin Primed to Rally to $56K, Chart Analyst Predicts",2023-02-17
696,22:57:22,COIDES,045060.KQ,Bitcoin Surges to Highest Level Since August; Sam Bankman-Fried's Bond Co-Signers Revealed,2023-02-16
698,22:20:37,COIN,CLSK.O BTC=,"Crypto Miner CleanSpark Extends Bear-Market Strategy, Buying 20K of Bitmain's Newest Rigs",2023-02-16
699,21:56:09,COIDES,CLSK.O,Startup Sustainable Bitcoin Protocol Completes First Transaction of Clean Mining Tokens,2023-02-16
701,21:24:58,COIN,BTC=,Startup Sustainable Bitcoin Protocol Completes First Transaction of Clean Mining Tokens,2023-02-16
702,21:24:58,COIN,BTC=,Crypto Startups Are Increasingly Postponing Token Launch Plans as Alameda Research's Contagion Effects Linger On,2023-02-16
703,21:24:58,COIN,BTC= .FTSE,First Mover Americas: Bitcoin Soars to Highest Level Since August,2023-02-16
704,20:35:10,COIN,BTC= BNB=,Market Demand Pushes Trading Volumes on DEX Level Finance Over $1B,2023-02-16
705,16:26:59,COIDES,.IXIC BTC=,"Bitcoin Primed to Rally to $56K as Nasdaq Breaks Out of Bull Flag, Chart Analyst Says",2023-02-16
706,16:17:26,COIN,ETH= BTC=,"Bitcoin Primed to Rally to $56K as Nasdaq Breaks Out of Bull Flag, Chart Analyst Says",2023-02-16
708,15:43:55,COIN,BTC= BNB=,"Short Trades Make up 90% of $200M in Losses as Bitcoin, Ether Surge",2023-02-16
710,10:31:03,COIN,REP= ETH=,First Mover Asia: Bitcoin Rockets Past $24.7K to Hit 6-Month High,2023-02-16
711,07:37:25,COIDES,IBKR.O IBKR.EI,"Interactive Brokers Offers BTC, ETH Trading for Professional Traders in Hong Kong; El Salvador's 'Bitcoin Embassy'",2023-02-16
713,05:25:11,COIN,045060.KQ,"Refinitiv Newscasts - Bankman-Fried's Bond Co-Signers Identified, Bitcoin Foundation Founder Reacts",2023-02-16
714,04:59:43,COIN,045060.KQ,Refinitiv Newscasts - Sam Bankman-Fried's Bond Co-Signers Revealed; Bitcoin Hashrate Hits 300 EH/s Mark,2023-02-16
715,04:55:29,COIN,BTC=,Bitcoin Soars Past $24K to Reach 2-Week High,2023-02-16
716,04:55:01,COIN,BTC=,Refinitiv Newscasts - Bitcoin's Network Value to Transaction Ratio Declining,2023-02-16
717,04:33:58,COIDES,045060.KQ,Sam Bankman-Fried's Bond Co-Signers Revealed; Bitcoin Breaks Above $23K,2023-02-16
718,02:34:04,COIN,BTC=,Is the SEC Really the Bad Guy?,2023-02-16
720,01:39:21,COIN,ETH= BTC=,Crypto Long & Short: Bitcoin's 'Golden Cross' Explained,2023-02-16
721,01:13:20,COIN,BTC=,Crypto Long & Short: Sorting Out Bitcoin’s P/E Ratio,2023-02-16
723,23:39:02,COIN,IBKR.O IBKR.EI,"Interactive Brokers Rolls Out BTC, ETH Trading to Professional Investors in Hong Kong",2023-02-15
725,22:56:54,COIN,BTC=,The SEC Is Taking Aim at Paxos and (Annoyingly) It’s Good For Bitcoin,2023-02-15
726,21:58:33,COIN,BTC=,Republicans Plan to Reintroduce Legislation Restricting Crypto in 401(k): Politico,2023-02-15
730,20:27:23,COIDES,HIVE.V,Bitcoin Miner Hive Delays Latest Financial Filings Till Feb-End,2023-02-15
731,20:27:22,COIDES,.IXIC BTC=,Explaining the Disconnect Between Bitcoin and Treasury Yields Post US Inflation Data,2023-02-15
732,20:19:34,COIN,BTC=,Bitcoin Hashrate Hits 300 EH/s Mark as Industry Gets Some Breathing Room,2023-02-15
733,20:06:26,COIN,BTC= .IXIC,Explaining the Disconnect Between Bitcoin and Treasury Yields Post US Inflation Data,2023-02-15
734,20:06:26,COIN,HIVE.V BTC=,Bitcoin Miner Hive Delays Latest Financial Filings Till Feb-End,2023-02-15
737,12:22:50,COIN,DBSM.SI BTC=,DBS Says Bitcoin Trading up 80% in 2022 on DDex Exchange,2023-02-15
738,09:27:21,COIDES,BTC=,First Mover Asia: Bitcoin Holds Steady on CPI Data. Are Investors Undecided?,2023-02-15
739,09:12:39,COIN,USDT= BTC=,First Mover Asia: Bitcoin Holds Steady on CPI Data. Are Investors Undecided?,2023-02-15
740,05:27:20,COIDES,BTC=,Bitcoin Rebounds Above $22K After Tepid Inflation Readings,2023-02-15
741,05:21:27,COIN,BTC=,Refinitiv Newscasts - Bitcoin Rises As U.S. Inflation Rose Slightly in January; Three Arrows Capital Founders Create 'Open Exchange',2023-02-15
743,05:00:53,COIN,ETH= BTC=,Bitcoin Rebounds Above $22K After Tepid Inflation Readings,2023-02-15
745,03:51:09,COIN,BTC=,"Coinkite’s New Bitcoin Hardware Wallet Looks Like BlackBerry, Takes AAA Batteries",2023-02-15
748,01:17:55,COIN,ETH= BTC=,Why Bitcoin Miners Need to Take Ethereum Seriously,2023-02-15
749,00:56:09,COIN,USD= BTC=,Refinitiv Newscasts - Crypto Markets React to Latest US Inflation Report,2023-02-15
752,22:35:39,COIDES,BTC=,Bitcoin Dips After Inflation Comes in Slightly Hot,2023-02-14
753,22:19:37,COIN,USDT= BTC=,Bitcoin’s UTXOs Are Close to All-Time High. Here’s Why it Matters,2023-02-14
754,21:58:20,COIN,BTC=,Bitcoin Dips After Inflation Comes in Slightly Hot,2023-02-14
755,21:55:42,COIDES,BTC=,First Mover Americas: Bitcoin Posts Slight Gains Ahead of U.S. CPI Data,2023-02-14
756,21:37:02,COIN,BTC= .FTSE,First Mover Americas: Bitcoin Posts Slight Gains Ahead of U.S. CPI Data,2023-02-14
757,20:44:50,COIN,BTC= ATM=,UK Financial Regulator Takes Enforcement Action Against Crypto ATM Operators,2023-02-14
758,19:34:36,COIN,MS.N,Morgan Stanley: Falling Stablecoin Issuance Is Negative Sign for Crypto Trading,2023-02-14
759,14:33:41,COIN,BTC=,Curve Token Surges Over 10% as Crypto Traders Eye Curve USD Stablecoin,2023-02-14
760,09:21:55,COIN,USDT= BTC=,"First Mover Asia: Binance BNB Token Plunges, Bitcoin Holds Near $21.8K Amid US Regulatory Uproar",2023-02-14
764,05:39:47,COIN,USD= ETH=,"Bitcoin, Ether Drop as Investors Fret Over Inflation Data, Stablecoin Regulation",2023-02-14
765,05:36:03,COIN,USD= TSLA.O,Refinitiv Newscasts - Bitcoin Below $22K Ahead of CPI Data,2023-02-14
766,05:30:59,COIN,HUT.TO ABIT.PK,Refinitiv Newscasts - Paxos To Stop Minting BUSD After Regulatory Action; IMF Issues Warning Over El Salvador’s Bitcoin Experiment,2023-02-14
767,05:16:19,COIN,BTC=,Refinitiv Newscasts - Bitcoin Might Test $20K as It Looks for Support,2023-02-14
768,04:34:31,COIN,ETH= BTC=,Hacking Crypto Wallets Is Latest Strategy in Quest to Recover Lost Billions,2023-02-14
770,03:41:05,COIN,BTC=,Grayscale’s GBTC Discount Widens to Near-Record High,2023-02-14
771,02:59:39,COIN,ETH= BTC=,"Sanctioned Mixer Blender Re-Launched as Sinbad, Elliptic Says",2023-02-14
772,00:16:49,COIN,ABNB.O,"Refinitiv Newscasts - Bitcoin, Ether Falling as Paxos To Stop Minting Stablecoin BUSD",2023-02-14
774,21:33:19,COIN,ETH= BTC=,First Mover Americas: Paxos Acts on SEC Threat,2023-02-13
775,09:59:00,COIDES,BTC=,First Mover Asia: Bitcoin Might Test $20K as It Looks for Support,2023-02-13
776,09:17:36,COIN,BTC=,First Mover Asia: Bitcoin Might Test $20K as It Looks for Support,2023-02-13
782,05:19:06,COIN,6502.T,Refinitiv Newscasts - Bitcoin’s NFT Hype Attracts Interest of BSV Developer Twetch,2023-02-11
785,04:15:25,COIN,ETH= DOGE=,An Ode to LocalBitcoins (and a Lesson About Maintaining Bitcoin's Public Goods),2023-02-11
787,01:09:48,COIN,BTC= BEN.N,Refinitiv Newscasts - DFD Partners President Shares His Outlook on Crypto In 2023,2023-02-11
792,22:13:04,COIN,BTC=,"Bitcoin Miner BitNile Pulls 6,500 Rigs from former Compute North Site",2023-02-10
793,21:24:44,COIN,LTC= BTC=,PayPal Held $604M of Customers' Crypto as of Year-End 2022,2023-02-10
795,17:53:11,COIN,XRP= BTC=,"Long Traders Bear Brunt as Bitcoin, Ether Slide Spurs $220M in Liquidations",2023-02-10
797,10:08:36,COIN,BTC=,"Bitzlato Co-Founder Released After Arrest in Moscow, Pledges Relaunch of Seized Exchange",2023-02-10
798,10:08:36,COIN,SALT= ETH=,First Mover Asia: Kraken Crypto Staking Settlement Bedevils Markets as Bitcoin Lingers Below $21.9K,2023-02-10
799,07:04:33,COIN,CLSK.O BTC=,Bitcoin Miner CleanSpark Plans to Continue Pursuing Acquisitions Amid Bear Market,2023-02-10
800,05:57:18,COIDES,BTC=,Liquid Staking Tokens Rally as Kraken Settles with SEC to Sunset Staking Service,2023-02-10
801,05:52:32,COIN,BTC=,Liquid Staking Tokens Rally as Kraken Settles with SEC to Sunset Staking Service,2023-02-10
802,05:49:37,COIN,COIN.O,Refinitiv Newscasts - Legal Expert Weighs in on Craig Wright Losing Bitcoin Copyright Claim in UK Court,2023-02-10
803,05:30:42,COIDES,BTC=,Bitcoin Drops Below $22K as Kraken Agreement to Close Crypto Staking Operations Spooks Investors,2023-02-10
805,05:07:29,COIN,BTC=,Bitcoin Drops Below $22K as Kraken Agreement to Close Crypto Staking Operations Spooks Investors,2023-02-10
807,03:07:16,COIN,BTC=,Bitcoin Punks: Ordinal NFT Collection Soars in Value,2023-02-10
809,01:18:49,COIN,BTC=,The Future of Financial Planning Lies in AI and Blockchain,2023-02-10
810,00:59:00,COIN,BTC=,Bitcoin Miners Surface for Air as Sliding Natural Gas Price Provides Cost Relief,2023-02-10
816,21:57:47,COIDES,BITF.TO,Bankrupt Crypto Lender BlockFi Takes Two-Thirds Haircut to Settle Bitcoin Miner Bitfarms' Debt,2023-02-09
818,21:23:44,COIN,BTC=,Bankrupt Crypto Lender BlockFi Takes Two-Thirds Haircut to Settle Bitcoin Miner Bitfarms' Debt,2023-02-09
819,21:23:44,COIN,BTC=,"Bitcoin Exchange LocalBitcoins to Close, Citing Market Conditions",2023-02-09
820,19:43:29,COIN,BTC=,"Umami Finance CEO Dumps All Tokens After Week-Long Drama, Leaving Crypto Hopefuls Stranded",2023-02-09
822,19:13:50,COIN,ETH= BTC=,CryptoQuant: Bitcoin Network Activity Spikes to Two-Year High Thanks to NFTs,2023-02-09
823,17:30:24,COIN,BTC=,Tron Blockchain Commits $100M in Grants to Artificial Intelligence-Focused Projects,2023-02-09
824,17:05:38,COIDES,ARB.L,CEO of Bitcoin Miner Argo Steps Down,2023-02-09
825,16:43:58,COIN,ARB.L,CEO of Bitcoin Miner Argo Steps Down,2023-02-09
826,11:32:31,COIN,BTC=,First Mover Asia: Bitcoin Hovers Near $23K; Why AI Tokens Are on a Months-Long Tear,2023-02-09
827,11:27:48,COIDES,BTC= COIN.O,First Mover Asia: Bitcoin Hovers Near $23K; Why AI Tokens Are on a Months-Long Tear,2023-02-09
829,07:15:38,COIDES,BTC=,Crypto Markets Analysis: Ether Pulls Even With Bitcoin in Year-to-Date Performance,2023-02-09
830,07:02:28,COIN,BTC=,"Bitcoin NFTs Explode in Popularity as BitMEX Research Shows 13,000 Ordinals",2023-02-09
831,06:18:53,COIN,BTC=,Cross-Chain Protocol Stargate Finance’s Token Surges Double Digits After Trader Joe Partnership News,2023-02-09
832,05:37:51,COIN,BTC=,AI Token Search Traffic Spikes as Crypto Traders Seek Exposure,2023-02-09
833,04:39:28,COIN,ETH= BTC=,MakerDAO Contributors Propose First Native Liquidity Market Focused on DAI Stablecoin,2023-02-09
837,02:54:03,COIN,ETH= BTC=,Bitcoin’s Newfound NFT Hype Attracts Interest of BSV Developer Twetch,2023-02-09
838,02:41:01,COIN,BTC=,"Bitcoin, Markets and the Symmetry of Information",2023-02-09
840,02:06:52,COIN,ETH= BTC=,Crypto Long & Short: Bitcoin's 'Golden Cross' Explained,2023-02-09
841,01:44:20,COIN,BTC=,A Pragmatic View of ChatGPT in a Web3 World,2023-02-09
843,01:06:32,COIN,ATM=,Bitcoin ATM Operator Coin Cloud Files for Bankruptcy With Liabilities of $100M-$500M,2023-02-09
844,00:32:30,COIN,BTC=,Craig Wright Loses Bitcoin Copyright Claim in UK Court,2023-02-09
845,00:24:29,COIN,BTC=,"Refinitiv Newscasts - Bitcoin, Ether Higher as Fed Chair Powell Talks ‘Disinflation’ Again",2023-02-09
849,17:21:11,COIN,BTC=,UK Crypto Firms and Regulator Blame Each Other for Industry Exodus,2023-02-08
850,09:38:33,COIN,ETH= BTC=,First Mover Asia: Bitcoin Flirts With $23.4K as Jerome Powell Repeats Comment About Waning Inflation; Market Weighs DCG-Genesis Deal With Creditors,2023-02-08
851,08:17:29,COIN,BTC=,Blockchain-Based Render Network Token Rising After Community Vote for New Burn-and-Mint Model,2023-02-08
855,05:25:30,COIN,BITC.TO,Refinitiv Newscasts - Sam Bankman-Fried Trial Developments; Report Says Ordinals Protocol Triggered Revival in Bitcoin Development,2023-02-08
856,05:22:18,COIN,FDX.N,Refinitiv Newscasts - On-Chain Indicators Point Toward Positive Sentiment for Bitcoin,2023-02-08
857,04:47:19,COIDES,BTC=,"Bitcoin Favored Over Ether by CME Traders So Far This Year, Arcane Research Report Shows",2023-02-08
858,04:13:35,COIN,ETH= BTC=,"Bitcoin Favored Over Ether by CME Traders So Far This Year, Arcane Research Report Shows",2023-02-08
859,02:35:49,COIDES,BTC=,Bitcoin Rises to $23.3K as Powell Repeats 'Disinflationary' Comment,2023-02-08
860,02:21:08,COIN,CG.O BTC=,Bitcoin Rises to $23.3K as Jerome Powell Repeats 'Disinflationary Process' Comment,2023-02-08
864,00:50:32,COIN,BTC=,Alleged Crypto Money Launderer Tied to Ransomware Attacks Pleads Guilty to Conspiracy Charge,2023-02-08
866,23:41:26,COIN,ETH= BTC=,Ethereum Testnet Successfully Processes First-Ever ETH Staking Withdrawals,2023-02-07
867,22:57:23,COIDES,SDIG.O,Bitcoin Miner Stronghold Digital Restructures Remaining $55M of Debt,2023-02-07
869,21:07:29,COIDES,HUT.TO BTCS.O,"Bitcoin Miners Hut 8, US Bitcoin Corp. Announce Merger",2023-02-07
870,20:37:39,COIN,HUT.TO BTC=,"Bitcoin Miners Hut 8, US Bitcoin Corp. Announce Merger",2023-02-07
871,20:15:23,COIN,BTC=,The Ordinals Protocol Has Caused a Resurgence in Bitcoin Development,2023-02-07
872,15:49:19,COIN,BTC=,DCG Is Selling Holdings in Grayscale: Financial Times,2023-02-07
873,10:16:20,COIN,SBI.NS BTC=,First Mover Asia: Crypto Is Flat Before Fed Chair Speech; Japan's SBI Building a Metamask Competitor for Yen-Denominated NFT Trading,2023-02-07
875,07:14:16,COIN,BTC=,Bitcoin Holds Steady Near $23K as Investors Weigh Their Next Steps,2023-02-07
876,06:24:36,COIN,BTC= BPAC3.SA,Refinitiv Newscasts - Bitcoin Has Jumped 35% In Past Month,2023-02-07
879,05:38:27,COIN,TWTR.N BTC=,How Bitcoin NFTs Might Accidentally Fix Bitcoin's Security Budget,2023-02-07
880,05:14:51,COIN,BTC=,‘Disinflation’ Trends Will Soon ‘Hit a Brick Wall’: Oanda’s Edward Moya,2023-02-07
882,02:20:10,COIN,ETH= BTC=,Decentralized Lending Protocol Clearpool to Start Institutional Borrowing Platform,2023-02-07
886,21:15:34,COIN,BTC=,First Mover Americas: Bitcoin in the Red for Fifth Day Straight Day,2023-02-06
887,17:27:53,COIDES,BTC=,"Bernstein: Ethereum Activity Has Picked Up, With Shanghai Upgrade the Next Big Catalyst",2023-02-06
888,17:06:50,COIN,ETH= BTC=,"Bernstein: Ethereum Activity Has Picked Up, With Shanghai Upgrade the Next Big Catalyst",2023-02-06
889,09:26:31,COIN,ETP= BTC=,"First Mover Asia: Bitcoin Not Ready to Soar as Investors Await Fed Chair Speech, More Earnings",2023-02-06
891,06:44:31,COIN,MSTR.O FAG.ST,Refinitiv Newscasts - Bitcoin Falls After Jan. Jobs Report; Charlie Munger Hasn't Taken the Time to Study Bitcoin: Michael Saylor,2023-02-04
895,03:45:46,COIN,USD= BTC=,Fed Policy Win Could Harm Bitcoin’s Wall Street Narrative,2023-02-04
897,03:05:49,COIDES,BRKa.N MSTR.O,Charlie Munger Hasn't Taken the Time to Study Bitcoin: MicroStrategy's Michael Saylor,2023-02-04
898,02:41:11,COIN,MSTR.O BTC=,Charlie Munger Hasn't Taken the Time to Study Bitcoin: MicroStrategy's Michael Saylor,2023-02-04
899,00:51:42,COIN,USD= BTC=,"Nigeria’s Bitcoin Premiums May Better Reflect Country’s Demand for the Dollar, Not Crypto",2023-02-04
902,22:08:12,COIN,BTC=,Craig Wright's UK Case Against 16 Bitcoin Developers to Go to Full Trial: Report,2023-02-03
903,21:56:53,COIN,BTC=,"Bitcoin Falls After 517K Jobs Added in January, Beating Expectations",2023-02-03
904,19:05:51,COIDES,BTC=,Bitcoin Market Sentiment Is Most Bullish in 14 Months With U.S. Jobs Report Due,2023-02-03
905,18:23:31,COIN,BTC=,Bitcoin Market Sentiment Is Most Bullish in 14 Months With U.S. Jobs Report Due,2023-02-03
906,15:25:27,COIN,BTC=,Jack Dorsey-Based Social Network Nostr Gets Damus App Banned From China App Store,2023-02-03
907,11:12:22,COIDES,.SPX,First Mover Asia: Bitcoin Dips Into Red but Holds Strong Above $23.5K,2023-02-03
908,10:38:36,COIN,BTC= .SPX,First Mover Asia: Bitcoin Dips Into Red but Holds Strong Above $23.5K,2023-02-03
909,08:58:04,COIN,MARA.O BTC=,Marathon Digital Sells Mined Bitcoin for First Time to Monetize Recent Rally,2023-02-03
910,07:38:59,COIDES,BTC=,"Crypto Market's Post-Fed Rally Continues as DeFi, Smart Contract Platform Sectors Star",2023-02-03
911,06:58:46,COIDES,MSTR.O,MicroStrategy Books Impairment Charge of $197.6M on Q4 Bitcoin Holdings,2023-02-03
912,06:54:27,COIN,BTC=,"Crypto Market’s Post-Fed Rally Continues as DeFi, Smart Contract Platform Sectors Star",2023-02-03
913,05:17:27,COIN,COIN.O BRKa.N,Refinitiv Newscasts - Charlie Munger Calls for US Crypto Ban; Coinbase Shares Jump as Crypto-Related Stocks Continue Post-Fed Rally,2023-02-03
914,05:14:54,COIN,BTC= .SPX,"Refinitiv Newscasts - Bitcoin, S&P 500 Near Bullish ‘Golden Cross’ Signal",2023-02-03
915,01:45:51,COIN,ETH= COIN.O,Coinbase Shares Soar as Crypto-Related Stocks Continue Post-Fed Rally,2023-02-03
917,01:22:24,COIN,BTC=,Giant Bitcoin 'Taproot Wizard' NFT Minted in Collaboration With Luxor Mining Pool,2023-02-03
921,23:07:27,COIDES,BTC=,OP Token Surges 25% as Optimism Foundation Proposes 'Bedrock' Upgrade,2023-02-02
922,23:02:41,COIN,BTC=,Better Exchange Due Diligence Could Help Define Crypto’s 2023,2023-02-02
924,21:35:55,COIN,ETH= BTC=,OP Token Surges 25% as Optimism Foundation Proposes 'Bedrock' Upgrade,2023-02-02
925,17:13:15,COIN,BTC= .SPX,"Bitcoin, S&P 500 Close In on Bullish 'Golden Cross' Signal",2023-02-02
926,11:00:31,COIN,WAVES= USDT=,First Mover Asia: Is Bitcoin's Ride Past $24.1K a Stopping Point or Sign of Further Gains?,2023-02-02
927,06:05:56,COIN,TWTR.MX,Refinitiv Newscasts - Bitcoin's Blockchain Data Reveals Continued Investor HODLing During Bear Market,2023-02-02
928,06:05:09,COIN,USD= BTC=,Refinitiv Newscasts - Bitcoin Clings to $23K as Fed Raises Rates Another 25 Basis Points,2023-02-02
929,05:59:13,COIN,ETH= BTC=,"Crypto Long & Short: When Regulating Crypto, Please Target the Bad Actors, Not the Asset",2023-02-02
930,05:37:45,COIN,BTC=,"Refinitiv Newscasts - US Blacklists Bitcoin, Ether Addresses Tied to Russian Sanctions-Evasion Efforts; Bitcoin Price Predictions",2023-02-02
932,04:59:03,COIN,ETH= BTC=,Bitcoin Blasts Through $23.5K As Powell Speaks Following Fed Rate Hike,2023-02-02
933,04:16:20,COIN,TWTR.N BTC=,Decentralized Social Media Project Nostr's Damus Gets Listed on Apple App Store,2023-02-02
935,03:25:15,COIN,BTC=,Federal Reserve Lifts Rates Another 25 Basis Points,2023-02-02
936,03:22:26,COIN,GOOGL.O,Refinitiv Newscasts - ARK Invest Still Predicts Bitcoin Will Hit $1M by 2030,2023-02-02
938,01:26:41,COIN,ETH= BTC=,"US Blacklists Bitcoin, Ether Addresses Tied to Russian Sanctions Evasion Efforts",2023-02-02
940,00:29:14,COIDES,BTC=,Bitcoin Little-Changed on Soft Economic Data Ahead of Fed Meeting,2023-02-02
941,00:10:47,COIN,BTC=,Refinitiv Newscasts - Crypto Made a Comeback in January,2023-02-02
942,00:06:21,COIN,BTC=,Bitcoin Little-Changed on Soft Economic Data Ahead of Fed Meeting,2023-02-02
945,22:16:22,COIN,BTC=,Luxor Starts First-Of-Its-Kind Bitcoin Mining Rig Marketplace for Large Scale Orders,2023-02-01
946,18:59:15,COIDES,.HSI,"Bitcoin and Hang Seng's Stalled Rally Might Mean Wider De-Risking Ahead, TradFi Firm Says",2023-02-01
947,18:26:16,COIN,BTC= .HSI,"Bitcoin and Hang Seng's Stalled Rally Might Mean Wider De-Risking Ahead, TradFi Firm Says",2023-02-01
948,17:52:15,COIN,BTC= ARK=,ARK Invest Maintains Prediction That Bitcoin Prices Will hit $1M by 2030,2023-02-01
949,17:39:46,COIN,BTC= ARB.L,Bitcoin Miner Argo Blockchain's CFO Alex Appleton Quits,2023-02-01
950,17:37:54,COIDES,BTC=,"Bitcoin Could be in the Later Stages of the Bear Market, On-Chain Data Suggests",2023-02-01
951,17:37:42,COIDES,BTC=,"Bitcoin Price Could Reach $45,000 by Christmas 2023: Matrixport",2023-02-01
952,16:57:31,COIN,BTC=,"Bitcoin Price Could Reach $45,000 by Christmas 2023: Matrixport",2023-02-01
953,16:57:31,COIN,BTC=,"Bitcoin Could be in the Later Stages of the Bear Market, On-Chain Data Suggests",2023-02-01
955,15:44:53,COIN,TWTR.N BTC=,Bitcoin UTXOs Older Than 5 Years Surged During Bear Market,2023-02-01
956,11:04:41,COIN,ETH= DOGE=,"First Mover Asia: Lido DAO Governance Token Down, Staked Ether Stable, as Withdrawal Proposal Comes Into Focus; Bitcoin Rises as Fed Rate Decision Nears",2023-02-01
957,07:07:34,COIDES,USD= .IXIC,"Crypto Markets Today: Fed Preview, Bitcoin Holds Steady at $22.9K",2023-02-01
958,06:38:35,COIN,USD= ETH=,"Crypto Markets Today: Fed Preview, Bitcoin Holds Steady at $22.9K",2023-02-01
962,05:11:54,COIN,BTC=,Refinitiv Newscasts - Bitcoin Rebounds After Largest Daily Plunge Since November,2023-02-01
963,04:21:02,COIN,WU.N,Refinitiv Newscasts - Strike Extends Bitcoin Lightning Network-Powered Remittances to Philippines,2023-02-01
965,01:44:17,COIN,BTC= BNB=,Metaverse Tokens Outperforming Bitcoin in January,2023-02-01
966,01:17:08,COIN,BTC=,Bitcoin Miner Core Scientific to Borrow $70M From B. Riley,2023-02-01
967,00:10:38,COIN,ETH= BTC=,What's Holding DAOs Back?,2023-02-01
970,23:16:56,COIN,BTC=,Initial Coin Offerings Deserve a Rethink,2023-01-31
971,23:16:56,COIN,BTC=,Strike Expands Lightning Network-Powered Remittances to Philippines,2023-01-31
972,22:28:53,COIDES,RILY.O,Bitcoin Miner Greenidge Generation Restructures Another $11M of Debt,2023-01-31
973,22:08:45,COIN,GREE.O BTC=,Bitcoin Miner Greenidge Generation Restructures Another $11M of Debt,2023-01-31
974,21:56:44,COIN,BTC=,BankProv Stops Offering Loans Collateralized With Crypto Mining Machines,2023-01-31
975,21:05:58,COIDES,BTC= USD=,"Fed Preview: Powell to Trigger 'Healthy Pullback' in Bitcoin, Experts Say",2023-01-31
976,20:38:57,COIN,USD= BTC=,"Fed Preview: Powell to Trigger 'Healthy Pullback' in Bitcoin, Experts Say",2023-01-31
977,11:31:47,COIN,DASH= BTC=,Bitcoin Community Erupts In Existential Debate Over NFT Project Ordinals,2023-01-31
979,10:19:12,COIN,DOGE= BTC=,"First Mover Asia: Centralized Exchange Tokens Post Solid Gains in January Despite SEC Interest; Bitcoin, Ether, in the Red.",2023-01-31
980,07:57:53,COIDES,BTC=,Bitcoin Suffers Largest Daily Plunge Since November to Sink Below $22.6K as Fed Meeting Looms,2023-01-31
982,07:39:40,COIN,BTC=,Bitcoin Suffers Largest Daily Plunge Since November to Sink Below $22.6K as Fed Meeting Looms,2023-01-31
983,07:29:29,COIN,BTC=,"Bitcoin Suisse Chairman Says EU Won’t Ban Crypto, But It May Seek to Contain It",2023-01-31
